trade_date,signal_month,strategy_type,selected_expression,held_contract,front_contract,forward_contract,target_position,effective_leverage,hands,daily_pnl,trade_cost,equity,mm_index,dominant_state,trade_direction,daily_return,cum_return,drawdown
2024-10-28,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-13160.0,0.0,1828418.0,68.46153846153847,利润驱动供给,long_single,-0.007146045402366852,0.8284180000000001,-0.03806862242723774
2024-10-29,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-6110.0,0.0,1822308.0,68.46153846153847,利润驱动供给,long_single,-0.0033416866383945143,0.822308,-0.04128309565872501
2024-10-30,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,16215.0,0.0,1838523.0,68.46153846153847,利润驱动供给,long_single,0.00889805675001143,0.8385229999999999,-0.03275237823670096
2024-10-31,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-6815.0,376.0,1831332.0,68.46153846153847,利润驱动供给,long_single,-0.003911291835892228,0.831332,-0.0365355659629899
2024-11-01,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,0.0,656.0,1830676.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.00035820921602414124,0.830676,-0.036880687802573475
2024-11-04,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,6560.0,0.0,1837236.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0035833757584629033,0.8372360000000001,-0.03342946940673763
2024-11-05,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,1230.0,0.0,1838466.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0006694839421828025,0.8384659999999999,-0.03278236595751849
2024-11-06,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-2255.0,0.0,1836211.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0012265660610530915,0.836211,-0.03396872228108705
2024-11-07,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,410.0,0.0,1836621.0,81.67938931297711,近远月强弱,long_front_short_forward,0.00022328588599029864,0.8366210000000001,-0.03375302113134726
2024-11-08,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,4920.0,0.0,1841541.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0026788324863975532,0.8415410000000001,-0.031164607334470462
2024-11-11,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-1025.0,0.0,1840516.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0005565990656738462,0.840516,-0.03170386020881977
2024-11-12,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-3485.0,0.0,1837031.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0018934907384667854,0.8370310000000001,-0.03353731998160758
2024-11-13,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-2050.0,0.0,1834981.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.00111593108662833,0.834981,-0.03461582573030619
2024-11-14,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,0.0,0.0,1834981.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0,0.834981,-0.03461582573030619
2024-11-15,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-410.0,0.0,1834571.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.00022343555600845555,0.834571,-0.03483152688004598
2024-11-18,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-2870.0,0.0,1831701.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.001564398434293346,0.831701,-0.03634143492822417
2024-11-19,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-820.0,0.0,1830881.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0004476713175348701,0.830881,-0.036772837227703636
2024-11-20,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,410.0,0.0,1831291.0,81.67938931297711,近远月强弱,long_front_short_forward,0.00022393590845060096,0.831291,-0.03655713607796385
2024-11-21,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,1845.0,0.0,1833136.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0010074859757405186,0.8331360000000001,-0.035586480904135076
2024-11-22,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,1435.0,0.0,1834571.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0007828115317138895,0.834571,-0.03483152688004598
2024-11-25,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,820.0,0.0,1835391.0,81.67938931297711,近远月强弱,long_front_short_forward,0.000446970981226702,0.835391,-0.034400124580566516
2024-11-26,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,1845.0,0.0,1837236.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0010052353967084926,0.8372360000000001,-0.03342946940673763
2024-11-27,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-1025.0,0.0,1836211.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0005579032851522614,0.836211,-0.03396872228108705
2024-11-28,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,-4100.0,0.0,1832111.0,81.67938931297711,近远月强弱,long_front_short_forward,-0.0022328588599023202,0.832111,-0.03612573377848438
2024-11-29,2024-10-01,calendar_spread,calendar_spread_v3_model,JD2501.DCE/JD2503.DCE,JD2501.DCE,JD2503.DCE,0.5043682183052908,0.7565523274579362,41.0,3280.0,656.0,1834735.0,81.67938931297711,近远月强弱,long_front_short_forward,0.0014322276324960637,0.834735,-0.03474524642015009
2024-12-02,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-0.0,368.0,1834367.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.00020057392484473802,0.8343670000000001,-0.03493885135455066
2024-12-03,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-1725.0,0.0,1832642.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0009403788881940933,0.8326420000000001,-0.03584637448455319
2024-12-04,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-1265.0,0.0,1831377.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0006902602908805955,0.831377,-0.03651189144655509
2024-12-05,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,4715.0,0.0,1836092.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.002574565477233781,0.8360920000000001,-0.03403132822454802
2024-12-06,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-460.0,0.0,1835632.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0002505321084128598,0.8356319999999999,-0.03427333439254876
2024-12-09,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-8280.0,0.0,1827352.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.004510708028624522,0.8273520000000001,-0.03862944541656099
2024-12-10,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,690.0,0.0,1828042.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0003775955590383795,0.828042,-0.038266436164559936
2024-12-11,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-4600.0,0.0,1823442.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0025163535629925127,0.823442,-0.040686497844566794
2024-12-12,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,575.0,0.0,1824017.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.000315337696510154,0.824017,-0.04038399013456595
2024-12-13,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-690.0,0.0,1823327.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0003782859479928291,0.8233269999999999,-0.04074699938656701
2024-12-16,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-2760.0,0.0,1820567.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.001513716409618282,0.820567,-0.04219903639457101
2024-12-17,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,345.0,0.0,1820912.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0001895014025850017,0.8209120000000001,-0.04201753176857059
2024-12-18,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,2760.0,0.0,1823672.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.001515723988858353,0.823672,-0.04056549476056648
2024-12-19,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,3450.0,0.0,1827122.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0018917875582888932,0.8271219999999999,-0.03875044850056131
2024-12-20,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-3105.0,0.0,1824017.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0016993939102041278,0.824017,-0.04038399013456595
2024-12-23,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,2185.0,0.0,1826202.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0011979055019772922,0.8262020000000001,-0.03923446083656268
2024-12-24,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,4255.0,0.0,1830457.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0023299722593665972,0.830457,-0.03699590378255646
2024-12-25,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-575.0,0.0,1829882.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.0003141292037999177,0.829882,-0.037298411492557304
2024-12-26,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,3335.0,0.0,1833217.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0018225218893896944,0.8332170000000001,-0.035543866774552346
2024-12-27,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-690.0,0.0,1832527.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.00037638751986257546,0.832527,-0.03590687602655329
2024-12-30,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,4025.0,0.0,1836552.0,0.7575757575757576,近远月强弱,short_front_long_forward,0.0021964205711566542,0.836552,-0.03378932205654739
2024-12-31,2024-11-01,calendar_spread,calendar_spread_v3_model,JD2503.DCE/JD2509.DCE,JD2503.DCE,JD2509.DCE,-0.3061990998451743,0.45929864976776147,-23.0,-4255.0,368.0,1831929.0,0.7575757575757576,近远月强弱,short_front_long_forward,-0.002517217045855502,0.8319289999999999,-0.03622148404495418
2025-01-02,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,0.0,432.0,1831497.0,63.1578947368421,远期供给,long_single,-0.00023581699945796064,0.8314969999999999,-0.036448759402728736
2025-01-03,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-24030.0,0.0,1807467.0,63.1578947368421,远期供给,long_single,-0.013120414611653697,0.8074669999999999,-0.04909095117893836
2025-01-06,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-4590.0,0.0,1802877.0,63.1578947368421,远期供给,long_single,-0.0025394654508215098,0.8028770000000001,-0.051505751855292936
2025-01-07,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,810.0,0.0,1803687.0,63.1578947368421,远期供给,long_single,0.0004492818977668289,0.803687,-0.05107961055946564
2025-01-08,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,1350.0,0.0,1805037.0,63.1578947368421,远期供给,long_single,0.00074846689031971,0.805037,-0.05036937506642014
2025-01-09,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,1350.0,0.0,1806387.0,63.1578947368421,远期供给,long_single,0.0007479071066134324,0.806387,-0.049659139573374644
